position_start_x,position_start_y,position_end_x,position_end_y,type
attitude,pitch,yaw,roll,lon,lat
10.02,-0.31970858573913574,2.3172285556793213,0.012390680611133575,3.0926434,36.5043361
10.02,-0.3204817473888397,2.3211591243743896,0.014446986839175224,3.0926843,36.5043054
10.02,-0.317364364862442,2.323120355606079,0.009125354699790478,3.0927252,36.5042746
10.02,-0.3177100419998169,2.319969654083252,0.014622721821069717,3.0927661,36.5042441
10.01,-0.318454384803772,2.323698043823242,0.013195612467825413,3.092807,36.5042136
10.01,-0.31665903329849243,2.321934938430786,0.01263577863574028,3.0928478,36.5041831
10.01,-0.31851279735565186,2.320580244064331,0.01435355469584465,3.0928885,36.5041525
10.01,-0.32154613733291626,2.3212761878967285,0.013532542623579502,3.0929292,36.504122
10.01,-0.319683700799942,2.3239450454711914,0.01067589595913887,3.09297,36.5040913
10.0,-0.3188801407814026,2.324693202972412,0.01265282928943634,3.093011,36.5040606
10.0,-0.32148993015289307,2.3251357078552246,0.011163659393787384,3.0930519,36.5040299
10.0,-0.3206236660480499,2.3250298500061035,0.011907617561519146,3.0930928,36.5039992
10.0,-0.32018551230430603,2.327037811279297,0.009616740047931671,3.0931337,36.5039684
10.0,-0.32009437680244446,2.3160715103149414,0.01433531567454338,3.0931749,36.5039376
10.0,-0.3185342252254486,2.3240725994110107,0.01324522402137518,3.0932163,36.5039068
10.0,-0.31808701157569885,2.318457841873169,0.015904579311609268,3.0932572,36.5038761
